Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
AAZ,"Agriculture, forestry, fishing",2017Q4,10630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q1,10510,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q2,10548,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q3,10752,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2018Q4,10704,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q1,10869,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q2,10809,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q3,10538,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2019Q4,10633,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q1,10745,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q2,10630,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q3,10645,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2020Q4,10707,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q1,10676,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q2,10701,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q3,10576,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2021Q4,10623,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
AAZ,"Agriculture, forestry, fishing",2022Q1,10538,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q1,407,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q2,398,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q3,408,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2014Q4,380,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q1,389,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q2,427,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q3,446,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2015Q4,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
BB1,Mining,2016Q1,403,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
